nu,CH4/x=3e-6/T=253K/P=.35atm/L=10000000cm
5882.35294,0.0
5882.36294,0.211841714235
5882.37294,0.165435340135
5882.3829399999995,0.129385772693
5882.39294,0.101510059586
5882.40294,0.082134781509
5882.41294,0.0696026670167
5882.4229399999995,0.06213541454469999
5882.43294,0.058528810087099994
5882.44294,0.05707863265430001
5882.45294,0.0554167813856
5882.462939999999,0.0531851658779
5882.47294,0.0520411314989
5882.48294,0.052825025102399996
5882.49294,0.054726098582
5882.502939999999,0.0566244592721
5882.51294,0.0591575873056
5882.52294,0.0633637749756
5882.53294,0.0673269417649
5882.54294,0.0688091314966
5882.55294,0.0710258556649
5882.56294,0.0782922412479
5882.57294,0.09026732712639998
5882.58294,0.105074395734
5882.5929399999995,0.126787723813
5882.60294,0.16396202747400002
5882.61294,0.22558375024
5882.62294,0.318693349267
5882.6329399999995,0.429140740728
5882.64294,0.496319678093
5882.65294,0.462091711903
5882.66294,0.357072017609
5882.6729399999995,0.25247741644099997
5882.68294,0.178386999153
5882.69294,0.130602469661
5882.70294,0.0987497327919
5882.712939999999,0.0769087578731
5882.72294,0.06229565934780001
5882.73294,0.0527982329583
5882.74294,0.0465135850121
5882.752939999999,0.0416594785816
5882.76294,0.0375219975851
5882.77294,0.0343511928938
5882.78294,0.031837729896400005
5882.79294,0.0295134092942
5882.80294,0.027652447171099995
5882.81294,0.026675259556700002
5882.82294,0.026658697446300002
5882.83294,0.027421471598
5882.8429399999995,0.028737775312099995
5882.85294,0.030775481874
5882.86294,0.034174134761700004
5882.87294,0.039705476973599996
5882.8829399999995,0.0481875165338
5882.89294,0.0604858271139
5882.90294,0.07739719273319999
5882.91294,0.10122005875600001
5882.9229399999995,0.13624425633
5882.93294,0.181985471196
5882.94294,0.221092674646
5882.95294,0.23101071436999998
5882.962939999999,0.21206200845400003
5882.97294,0.173373232575
5882.98294,0.128096645449
5882.99294,0.0923737301554
5883.002939999999,0.07068210170900001
5883.01294,0.0600187002416
5883.02294,0.0576698350977
5883.03294,0.0622409931388
5883.04294,0.070842617819
5883.05294,0.0788283647117
5883.06294,0.0857946615425
5883.07294,0.092984171457
5883.08294,0.09970686432360001
5883.0929399999995,0.105428848047
5883.10294,0.10350427407400001
5883.11294,0.09226898085650001
5883.12294,0.0805864991443
5883.1329399999995,0.0707393699197
5883.14294,0.0605046265941
5883.15294,0.0496091311603
5883.16294,0.0389860636575
