nu,CH4/x=0.000001/T=253K/P=0.53atm/L=1000000cm
6082.0,0.0
6082.01,0.00016547603297
6082.02,0.000163200329259
6082.03,0.000158304822588
6082.04,0.000147985290027
6082.05,0.000135072379061
6082.06,0.000124670108568
6082.07,0.000119258146185
6082.08,0.000118998677909
6082.09,0.000123248177715
6082.1,0.000130975583413
6082.11,0.000141447923504
6082.12,0.000155609135322
6082.13,0.000175759942564
6082.14,0.00020176025416
6082.15,0.000225953753331
6082.16,0.000236945764472
6082.17,0.000234193816637
6082.18,0.000229455576505
6082.19,0.000232653828534
6082.2,0.000246139021882
6082.21,0.000266445850194
6082.22,0.000284902933709
6082.23,0.000293189161026
6082.24,0.00029278840397
6082.25,0.000290023288018
6082.26,0.000283524404635
6082.27,0.000267063105714
6082.28,0.000240343824802
6082.29,0.000209598912441
6082.3,0.000181041453297
6082.31,0.000157958549212
6082.32,0.000141164230691
6082.33,0.000130058669298
6082.34,0.000123709343174
6082.35,0.00012143478861
6082.36,0.000122767413322
6082.37,0.000126970343835
6082.38,0.000132891943886
6082.39,0.000140337472829
6082.4,0.000151365861306
6082.41,0.000168966109345
6082.42,0.000194592498114
6082.43,0.000225293926656
6082.44,0.000251287189
6082.45,0.000261258503247
6082.46,0.00025416329446
6082.47,0.000238466740139
6082.48,0.000220392252486
6082.49,0.000201152100957
6082.5,0.000181328055735
6082.51,0.000162841001189
6082.52,0.00014768229554
6082.53,0.000136500982696
6082.54,0.000129026105493
6082.55,0.000124898227591
6082.56,0.000123990075326
6082.57,0.000126508340199
6082.58,0.000132109680188
6082.59,0.000138649049714
6082.6,0.000142754514368
6082.61,0.000142594725755
6082.62,0.000140073759203
6082.63,0.000138627143679
6082.64,0.000138697062262
6082.65,0.000137458217729
6082.66,0.000133150825983
6082.67,0.000127705707797
6082.68,0.000124308482665
6082.69,0.000124554379515
6082.7,0.000127913180495
6082.71,0.000132097108897
6082.72,0.000134362444559
6082.73,0.000134186448668
6082.74,0.000134212367237
6082.75,0.000137322030424
6082.76,0.000144080806399
6082.77,0.000153087529847
6082.78,0.000162416502436
6082.79,0.000169690485874
6082.8,0.000172512002298
6082.81,0.000171549261553
6082.82,0.000170972884359
6082.83,0.000174551685133
6082.84,0.000183023957537
6082.85,0.000194708988875
6082.86,0.000206993941434
6082.87,0.000217111971387
6082.88,0.000223602669539
6082.89,0.000227727875168
6082.9,0.000233244754092
6082.91,0.000244242446277
6082.92,0.000261307337753
6082.93,0.00027907292171
6082.94,0.000288520670399
6082.95,0.000283775097879
6082.96,0.000266546067766
6082.97,0.000244159223674
6082.98,0.000224391785399
6082.99,0.000210717096966
6083.0,0.0002016732043
6083.01,0.000194413053774
