wl,Isp
0.4,0.0002708
0.4010004764173416,0.00027545
0.4020009528346832,0.0002801
0.4030014292520248,0.0002801
0.4040019056693664,0.0002897
0.40500238208670797,0.0002897
0.40600285850404955,0.0002897
0.4070033349213912,0.0003067
0.40800381133873276,0.0003067
0.40900428775607434,0.0003244
0.4100047641734159,0.0003244
0.41100524059075755,0.0003244
0.4120057170080991,0.0003446
0.4130061934254407,0.0003446
0.4140066698427823,0.0003654
0.4150071462601239,0.0003654
0.4160076226774655,0.0003654
0.41700809909480707,0.0003717
0.41800857551214865,0.0003717
0.41900905192949023,0.0003779
0.42000952834683186,0.0003779
0.42101000476417344,0.0003779
0.422010481181515,0.0003916
0.42301095759885665,0.0003916
0.42401143401619823,0.0004055
0.4250119104335398,0.0004055
0.4260123868508814,0.0004055
0.42701286326822296,0.0003927
0.4280133396855646,0.0003927
0.4290138161029062,0.0003788
0.43001429252024775,0.0003788
0.43101476893758933,0.0003788
0.43201524535493097,0.00042510000000000003
0.43301572177227254,0.00042510000000000003
0.4340161981896141,0.0004737
0.4350166746069557,0.0004737
0.43601715102429733,0.0004737
0.4370176274416389,0.0004931
0.4380181038589805,0.0004931
0.43901858027632207,0.0005131
0.4400190566936637,0.0005131
0.4410195331110053,0.0005131
0.44202000952834686,0.0005571
0.44302048594568844,0.0005801
0.44402096236303,0.0006031
0.44502143878037165,0.0006031
0.4460219151977132,0.0006031
0.4470223916150548,0.0006413
0.44802286803239644,0.0006413
0.449023344449738,0.000681
0.4500238208670796,0.000681
0.45102429728442117,0.000681
0.45202477370176275,0.0006985
0.4530252501191044,0.0006985
0.45402572653644596,0.0007158
0.45502620295378754,0.0007158
0.4560266793711291,0.0007158
0.45702715578847075,0.0007339
0.45802763220581233,0.0007339
0.4590281086231539,0.0007523
0.4600285850404955,0.0007523
0.46102906145783706,0.0007523
0.4620295378751787,0.0007804
0.4630300142925203,0.0007804
0.46403049070986185,0.0008099
0.4650309671272035,0.0008099
0.46603144354454507,0.0008099
0.46703191996188664,0.0008353999999999999
0.4680323963792282,0.0008353999999999999
0.4690328727965698,0.0008599
0.47003334921391143,0.0008739333333333338
0.471033825631253,0.0008879666666666669
0.4720343020485946,0.000902
0.4730347784659362,0.000902
0.4740352548832778,0.0009446
0.4750357313006194,0.0009446
0.47603620771796096,0.0009446
0.47703668413530254,0.0009843
